RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB,ID
1,2,1,42,5,2,2,2,1,412,7,24880
6,2,4,21,4,2,2,8,45,233,4,17891
6,2,9,72,4,2,2,3,67,327,3,32684
3,1,4,6,5,2,2,6,27,313,3,3847
6,2,1,18,4,2,2,3,41,205,4,11741
1,1,4,6,4,2,2,5,67,303,3,3069
6,2,2,6,3,2,2,9,42,206,4,1836
1,1,9,34,1,2,2,2,1,110,4,18902
1,2,3,40,4,2,2,9,1,303,6,23626
9,1,3,48,5,2,2,7,68,527,3,28724
6,2,4,6,5,2,2,5,47,211,5,4866
6,2,3,25,5,2,2,1,38,119,4,14390
3,2,1,34,4,2,2,2,46,329,2,18826
6,1,3,24,4,1,2,0,41,151,4,14083
8,1,3,48,3,2,2,7,67,303,3,27727
6,1,3,32,5,2,2,7,42,12,3,17705
6,2,3,24,3,2,2,5,14,217,4,14013
1,1,1,34,5,2,2,5,1,128,5,24436
1,2,4,45,4,2,1,9,1,164,5,4700
9,1,4,56,4,2,2,1,68,430,6,6269
1,1,4,56,5,2,1,8,60,102,5,32497
6,1,1,50,4,2,1,1,38,210,4,14788
8,2,4,6,5,2,2,9,67,303,6,2699
6,2,3,51,5,2,2,9,26,210,4,30527
5,2,1,12,5,1,2,8,68,327,3,7676
6,2,4,6,4,1,2,3,45,233,4,1995
5,1,4,6,4,1,2,9,32,303,3,3175
9,1,2,19,5,2,2,4,68,303,3,12072
9,2,3,48,4,2,2,7,55,303,3,28464
6,2,1,34,4,2,2,2,25,207,5,18834
9,1,3,48,4,2,1,0,68,303,3,27711
6,1,4,49,4,2,2,9,57,247,4,4755
1,1,4,6,4,2,2,5,1,25,7,4406
5,1,2,38,4,2,2,4,49,217,4,22301
4,1,2,17,4,1,2,3,36,303,3,9962
6,2,3,22,5,1,2,7,43,207,8,13057
1,1,1,36,1,1,2,2,1,451,6,20312
6,2,4,6,5,1,2,9,48,215,4,1861
2,2,9,34,4,2,2,1,57,33,4,18218
2,2,3,48,4,1,2,7,65,333,3,27479
8,1,4,6,2,2,2,9,67,360,3,2813
2,1,2,24,4,2,2,5,2,129,6,14022
8,2,4,49,5,2,2,8,67,303,1,29813
6,1,4,41,4,2,2,9,10,42,4,23866
9,1,1,18,2,2,2,2,68,370,3,20361
6,1,9,6,5,2,2,7,38,210,4,4106
2,2,3,12,5,2,2,5,2,463,3,7597
9,2,4,15,4,2,2,9,68,313,3,2217
2,1,3,12,5,1,2,5,2,333,1,7795
9,2,1,34,4,1,2,2,1,164,3,18189
9,1,4,4,4,2,2,8,68,303,3,733
1,1,3,49,5,2,2,6,1,139,6,9044
1,2,4,8,3,2,2,8,59,120,4,5758
6,2,1,25,4,2,2,1,43,207,4,14775
8,2,3,48,2,1,2,7,46,303,6,29199
6,2,4,22,5,2,2,9,43,327,8,3087
6,1,2,5,5,2,2,5,56,242,4,24122
2,2,1,47,4,1,2,2,2,329,3,19672
3,2,9,6,4,2,2,9,43,207,4,4156
9,1,1,5,5,2,2,7,68,312,3,1396
2,1,2,48,5,2,2,7,2,116,6,29613
1,1,4,8,4,1,2,8,39,303,3,5552
9,2,4,37,4,2,2,5,25,324,6,21969
6,2,3,51,2,1,2,1,44,210,4,30367
8,2,4,51,4,1,2,3,1,364,3,30414
9,2,4,6,5,1,2,3,68,303,3,2219
5,1,4,10,5,1,2,9,26,207,4,2995
8,2,3,18,4,1,2,7,67,512,3,29020
6,2,9,46,5,2,2,5,68,168,7,26138
1,2,4,29,5,2,1,9,1,168,6,17093
1,2,2,12,4,2,2,3,1,303,5,23210
9,1,3,2,5,2,2,5,68,313,3,7056
7,2,1,26,4,1,2,3,1,248,4,15097
1,2,9,48,3,1,2,7,1,301,4,28213
9,2,3,6,4,2,1,9,27,333,3,1736
6,1,4,6,3,1,2,7,15,207,4,4952
9,2,4,49,5,2,2,8,68,303,8,29929
8,2,3,1,2,2,2,5,67,315,3,8048
2,2,1,25,5,1,2,1,2,421,8,14207
9,2,4,6,5,2,2,9,68,303,7,4378
1,1,1,36,4,2,2,1,1,110,5,19862
1,2,2,17,4,2,2,3,1,209,5,23358
8,2,4,6,5,2,2,9,1,239,6,3478
1,1,4,49,4,2,2,4,42,303,3,3800
6,1,4,6,4,2,2,9,50,206,1,2260
1,1,3,48,2,2,2,7,65,140,6,28823
9,2,4,53,5,2,2,9,1,364,3,31636
2,2,3,12,4,1,2,5,2,453,4,7670
8,2,4,4,4,2,2,8,67,312,3,997
6,1,3,12,4,1,1,5,38,223,4,6884
8,1,4,26,5,2,2,9,65,312,3,4561
4,2,1,39,4,2,2,2,68,213,3,18346
8,1,9,36,5,2,1,2,67,329,6,21028
6,2,4,15,4,2,2,9,26,215,4,9609
1,1,9,36,4,2,2,2,46,207,4,20544
8,1,4,2,4,1,2,9,67,303,5,516
2,1,9,6,1,2,2,9,24,239,6,1953
1,1,3,48,5,2,2,7,1,37,4,28575
9,2,4,35,4,2,2,4,40,212,4,5344
6,2,1,33,4,2,2,0,20,210,4,18594
4,2,9,21,1,2,2,2,43,128,4,20315
6,1,4,6,4,2,2,9,45,233,1,3977
6,2,4,1,4,2,2,6,53,229,4,405
9,2,1,6,4,1,2,9,68,226,4,2240
8,2,4,16,5,2,2,9,30,303,3,4389
1,1,2,18,4,2,2,8,42,149,8,11563
9,2,2,18,5,2,2,3,68,42,3,11482
1,2,4,6,4,2,2,5,66,109,5,4938
2,1,1,36,3,1,1,2,2,44,3,19221
9,1,4,8,5,2,2,8,68,364,3,5767
8,2,1,6,4,2,1,6,67,303,5,3137
6,2,4,6,4,2,2,9,49,217,4,2637
9,2,3,12,5,2,2,4,68,303,3,6751
8,2,3,6,5,2,2,9,14,303,3,5085
1,1,3,22,4,2,2,7,3,126,6,13160
4,2,4,6,5,2,2,2,43,207,4,5027
2,2,3,55,3,2,2,7,2,126,5,27924
2,2,3,12,1,2,2,5,2,332,3,7764
6,1,2,47,5,2,2,3,43,120,4,11156
2,1,4,36,5,2,2,2,2,332,3,20341
8,2,2,15,5,1,2,7,67,303,3,28775
9,1,2,18,5,2,2,3,3,315,3,11192
3,1,4,12,5,2,2,5,67,324,3,8201
1,2,3,22,4,2,2,7,1,301,3,13004
8,2,4,22,5,2,2,9,26,303,3,2477
1,2,4,53,1,2,2,9,1,132,5,31058
9,2,3,48,5,2,2,7,68,303,3,27475
1,2,4,4,5,2,2,8,1,301,7,1266
7,1,3,51,5,2,2,5,67,370,3,30899
1,2,1,36,4,1,1,2,1,164,5,19950
1,2,3,48,1,2,2,7,1,417,4,28122
6,2,1,6,4,2,2,1,38,210,4,14802
8,2,3,12,3,1,2,5,20,332,7,6671
8,1,1,34,4,1,2,9,67,247,6,18381
9,2,4,12,5,2,2,9,38,372,4,2125
1,1,4,53,4,2,2,9,1,214,4,31156
3,2,1,34,4,2,2,2,67,147,3,18234
1,2,2,34,2,2,2,2,1,128,4,18551
1,1,4,6,3,2,2,9,21,303,3,1919
6,2,3,55,5,2,2,1,15,23,4,32354
9,2,1,4,4,2,2,8,68,364,3,713
8,2,3,48,5,1,2,7,67,303,3,29465
1,2,3,12,5,2,2,5,1,136,5,7906
1,2,1,34,4,2,2,2,34,200,4,18357
6,1,4,6,1,2,2,9,57,247,4,2724
9,2,9,32,4,2,2,8,7,362,3,17714
1,1,1,32,4,2,1,6,11,120,5,17868
3,2,4,44,4,2,2,8,46,362,6,17852
3,1,4,6,4,2,2,9,43,207,5,2809
7,1,1,36,5,2,2,2,13,147,5,20372
9,2,1,15,5,1,2,9,68,362,3,9636
6,2,3,53,3,2,2,2,41,205,4,11401
1,1,9,12,4,2,2,5,49,327,3,7076
9,2,2,12,4,2,1,5,41,327,3,7114
6,2,3,6,2,2,2,6,43,209,4,3581
9,1,3,12,5,2,2,5,68,134,5,8433
4,1,2,17,5,1,2,3,20,360,5,10456
1,2,4,6,1,1,1,9,1,312,3,5075
6,1,4,6,5,2,2,9,43,209,4,4105
3,2,2,15,4,2,2,9,1,137,5,9538
5,1,2,31,5,2,2,1,2,323,3,17373
9,2,4,6,5,2,2,3,52,312,3,5493
6,2,4,33,2,2,2,8,50,223,4,6049
6,2,3,48,4,2,2,7,54,231,4,29040
8,2,9,6,5,2,2,9,27,233,3,1870
5,2,9,12,4,2,2,5,68,228,3,8210
8,1,1,36,5,1,2,2,67,327,3,19262
8,1,4,6,4,1,2,9,67,312,3,3216
6,1,4,48,4,2,2,7,43,207,4,27487
1,1,1,24,5,2,2,2,2,105,4,19326
7,2,1,25,4,2,2,2,7,362,3,14658
3,2,1,34,5,2,2,2,44,117,3,18810
9,2,3,12,5,2,2,5,29,19,1,7129
6,1,4,6,4,2,2,9,55,238,4,3291
3,1,2,54,5,2,2,4,57,303,3,26335
5,1,3,4,4,2,2,5,68,303,3,810
8,1,4,30,5,1,2,9,67,102,4,17847
6,2,4,6,5,2,2,9,62,233,4,3984
1,1,1,36,4,1,2,2,8,323,5,19491
6,2,4,32,5,2,2,9,68,303,3,31202
8,2,1,9,5,2,2,7,67,373,3,6183
8,1,2,17,2,2,2,3,67,303,7,10403
6,2,1,25,4,2,2,1,43,207,4,14640
1,1,2,17,4,2,2,3,1,128,5,10703
7,2,1,25,5,1,2,2,2,457,6,14651
8,1,1,35,5,2,2,0,67,303,3,18930
8,2,1,2,2,1,2,2,1,128,7,18889
8,1,3,12,5,2,2,5,67,364,3,7439
6,2,3,25,4,2,2,1,43,207,4,14612
6,1,4,53,5,2,2,9,34,207,4,31535
2,2,4,6,4,2,2,9,2,9,7,3312
6,2,3,48,5,2,2,7,53,229,4,27368
9,2,2,48,5,1,2,5,68,459,3,27359
7,2,4,4,5,2,2,8,67,313,3,17657
8,1,2,4,5,1,2,8,17,369,1,559
4,1,1,20,4,2,2,2,57,341,4,24824
9,2,4,6,3,2,2,8,68,212,4,3878
1,1,2,17,5,2,2,3,1,303,3,10115
6,1,3,48,4,2,2,7,2,210,4,28071
6,2,3,48,5,2,2,7,38,210,4,27258
3,1,1,48,4,2,2,7,57,247,4,28260
8,1,4,6,5,2,2,9,67,313,3,3112
1,1,4,4,4,2,2,8,1,138,5,5662
1,1,4,6,4,1,1,9,67,303,3,2291
9,1,4,6,4,2,2,9,68,56,4,4158
2,1,1,51,4,2,2,5,2,427,6,30736
2,1,4,36,3,2,2,9,2,421,6,20689
1,1,9,29,5,2,2,1,1,120,5,14478
9,1,3,30,4,1,2,9,68,34,4,3346
6,2,4,6,5,2,2,8,45,159,6,4185
2,2,1,36,5,2,2,2,2,341,3,19633
1,2,2,16,4,1,2,3,1,109,7,15799
6,2,2,13,5,2,2,4,38,210,4,17075
6,1,3,51,4,2,2,8,45,233,5,30298
5,2,4,6,5,2,2,8,67,303,3,3188
1,2,3,12,5,2,2,5,9,231,4,7596
9,2,9,12,5,2,1,5,68,303,3,8194
