Overall Time cost(in secs.): 1.171804428100586
Size of RS-repair: 275
Distribution of Representative Column : {'2': 55, '1': 220}
Time cost of PostClean(in secs.): 0.003715038299560547
RAC1P SEX REGION ST CIT  NATIVITY DIS DIVISION RAC2P POBP WAOB    ID
    6   2      1 34   4         2   2        2    57  247    4 18218
    1   2      1 34   4         2   2        2     1  164    5 18189
    1   2      4  2   4         2   1        9     1  164    5  4700
    1   1      1 50   5         2   2        2     1  128    5 24436
    1   1      1 36   4         2   2        2     1  451    6 20312
    1   1      3 48   5         2   2        7     1  303    3 28575
    1   2      3 40   4         2   2        7     1  303    3 23626
    8   1      3 48   5         2   2        7    67  303    3 27727
    8   2      3 48   4         2   2        7    67  303    3 29020
    8   1      4  6   4         2   2        9    67  303    3  3069
    8   2      4 49   5         2   2        8    67  303    3 29813
    9   1      3 48   5         2   2        7    68  303    3 28724
    9   1      3 48   4         2   1        7    68  303    3 27711
    9   2      4  6   5         2   2        9    68  303    3  2219
    9   2      4  6   5         2   2        9    68  303    3  4378
    9   1      4 32   5         2   2        8    68  303    3 17705
    9   2      4 49   5         2   2        8    68  303    3 29929
    1   2      3 48   4         2   2        7     1  301    7 28213
    1   1      3 47   4         2   2        7     1  140    5 28823
    1   1      4 56   4         2   1        8     1  102    5 32497
    1   2      4 37   4         2   2        8     1  246    4  5758
    1   2      3 51   4         2   2        5     1  364    3 30414
    9   2      4 53   5         2   2        9    68  364    3 31636
    9   2      3 45   5         2   2        5    68  364    3 26138
    1   2      2 39   4         2   2        3     1  116    5 23210
    2   2      1 36   5         2   2        2     2  329    3 19672
    8   1      1 36   5         2   1        2    67  329    3 21028
    2   1      3 48   5         2   2        7     2  440    6 29613
    2   1      3 24   5         2   2        5     2  440    6 14022
    2   2      3 48   4         2   2        7     2  333    3 27479
    2   1      3 12   4         2   2        5     2  333    3  7795
    9   2      4  6   4         2   1        9    68  333    3  1736
    2   2      3  4   5         2   2        0     2  332    3  7597
    8   1      4  6   5         2   2        9    67  312    3  4561
    6   1      1 36   4         2   2        2    43  207    4 20544
    6   2      3 46   5         2   2        7    43  207    4 13057
    6   1      4  6   5         2   2        9    43  207    4  2995
    6   1      4 27   5         2   2        9    43  207    4  4952
    9   2      4  6   4         2   2        9    68  212    4  5344
    9   1      1  9   4         2   2        1    68  414    6  6269
    9   2      3 12   5         2   2        5    68  327    3  7676
    6   2      4  6   5         2   2        9    47  211    4  4866
    6   2      4  6   5         2   2        9    48  215    4  1861
    6   2      4 15   4         2   2        9    48  215    4  9609
    6   1      4  6   5         2   2        9    38  210    4  4106
    6   2      1 25   5         2   2        1    38  210    4 14390
    6   1      1 25   4         2   1        1    38  210    4 14788
    6   2      3 29   5         2   2        6    38  210    4 30527
    6   1      4  6   4         2   2        9    38  427    6  1953
    6   2      4  6   4         2   2        9    42  206    4  1836
    6   1      4  6   4         2   2        9    50  206    4  2260
    6   2      4  6   4         2   2        9    45  233    4  1995
    6   1      4 41   5         2   2        9    56  242    4 24122
    6   2      3 24   4         2   2        5    49  217    4 14013
    6   2      2 18   4         2   2        3    41  205    4 11741
    6   1      4  6   1         1   2        9    57    6    1  3636
    1   1      4  6   1         1   2        9     1    6    1  4663
    1   1      4  6   1         1   2        9     1    6    1  1946
    1   1      4  6   1         1   2        9     1    6    1  2368
    1   2      4  6   1         1   2        9     1    6    1  4785
    1   1      4  6   1         1   2        9     1    6    1  5322
    1   1      4  6   1         1   1        9     1    6    1  3396
    1   1      4  6   1         1   2        9     1    6    1  2864
    1   2      4  6   1         1   2        9     1    6    1  4232
    1   1      4 53   1         1   2        9     1    6    1 31183
    1   2      1 25   1         1   2        1     1    6    1 14468
    2   1      3 48   1         1   2        7     2    6    1 29290
    2   1      4  6   1         1   2        9     2    6    1  4723
    2   1      4  6   1         1   1        9     2    6    1  1698
    2   2      4  6   1         1   2        9     2    6    1  2222
    8   2      4  6   1         1   2        9    67    6    1  5132
    8   1      4  6   1         1   2        9    67    6    1  4244
    9   1      4  6   1         1   2        9    68    6    1  1834
    9   1      4  6   1         1   2        9    68    6    1  3265
    9   2      4  6   1         1   2        9    68    6    1  2757
    9   2      4  6   1         1   2        9    68    6    1  3931
    9   1      4  8   1         1   1        8    68    6    1  5609
    6   1      4  6   1         1   2        9    59    6    1  3839
    1   1      1 42   1         1   2        2     1   42    1 25182
    1   2      1 42   1         1   2        2     1   42    1 24793
    1   1      1 42   1         1   2        2     1   42    1 24701
    1   1      1 42   1         1   2        2     1   42    1 25396
    1   1      1 42   1         1   2        2     1   42    1 25149
    1   1      1 42   1         1   2        2     1   42    1 25504
    1   2      1 42   1         1   2        2     1   42    1 24563
    1   1      1 42   1         1   2        2     1   42    1 25101
    1   1      1 34   1         1   1        2     1   42    1 18875
    1   1      1 25   1         1   2        1     1   42    1 14480
    1   2      3 21   1         1   2        6     1   42    1 12591
    2   1      1 42   1         1   2        2     2   42    1 24596
    1   2      1 42   1         1   2        2     1   36    1 24872
