Overall Time cost(in secs.): 0.21993446350097656
Size of RS-repair: 245
Distribution of Representative Column : {'2': 49, '1': 196}
Time cost of PostClean(in secs.): 0.00380706787109375
RAC1P SEX REGION ST CIT  NATIVITY DIS DIVISION RAC2P POBP WAOB    ID
    6   2      2 18   4         2   2        3    41  205    4 11741
    8   1      4  6   4         2   2        9    67  303    3  3069
    6   2      4  6   4         2   2        9    42  206    4  1836
    1   2      3 40   4         2   2        7     1  303    3 23626
    9   1      3 48   5         2   2        7    68  303    3 28724
    6   2      4  6   5         2   2        9    47  211    4  4866
    6   2      1 25   5         2   2        1    38  210    4 14390
    8   1      3 48   5         2   2        7    67  303    3 27727
    9   1      4 32   5         2   2        8    68  303    3 17705
    6   2      3 24   4         2   2        5    49  217    4 14013
    1   1      1 50   5         2   2        2     1  128    5 24436
    1   2      4  2   4         2   1        9     1  164    5  4700
    9   1      1  9   4         2   2        1    68  414    6  6269
    6   1      1 25   4         2   1        1    38  210    4 14788
    9   2      3 12   5         2   2        5    68  327    3  7676
    6   2      4  6   4         2   2        9    45  233    4  1995
    9   1      3 48   4         2   1        7    68  303    3 27711
    6   2      3 46   5         2   2        7    43  207    4 13057
    1   1      1 36   4         2   2        2     1  451    6 20312
    6   2      4  6   5         2   2        9    48  215    4  1861
    6   2      1 34   4         2   2        2    57  247    4 18218
    2   2      3 48   4         2   2        7     2  333    3 27479
    2   1      3 24   5         2   2        5     2  440    6 14022
    8   2      4 49   5         2   2        8    67  303    3 29813
    6   1      4  6   5         2   2        9    38  210    4  4106
    2   1      3 12   4         2   2        5     2  333    3  7795
    1   2      1 34   4         2   2        2     1  164    5 18189
    6   1      4 41   5         2   2        9    56  242    4 24122
    2   2      1 36   5         2   2        2     2  329    3 19672
    2   1      3 48   5         2   2        7     2  440    6 29613
    1   2      3 51   4         2   2        5     1  364    3 30414
    9   2      4  6   5         2   2        9    68  303    3  2219
    6   1      4  6   5         2   2        9    43  207    4  2995
    8   2      3 48   4         2   2        7    67  303    3 29020
    9   2      3 45   5         2   2        5    68  364    3 26138
    1   2      2 39   4         2   2        3     1  116    5 23210
    1   2      3 48   4         2   2        7     1  301    7 28213
    9   2      4  6   4         2   1        9    68  333    3  1736
    9   2      4 49   5         2   2        8    68  303    3 29929
    9   2      4  6   5         2   2        9    68  303    3  4378
    6   1      4  6   4         2   2        9    50  206    4  2260
    9   2      4 53   5         2   2        9    68  364    3 31636
    8   1      4  6   5         2   2        9    67  312    3  4561
    8   1      1 36   5         2   1        2    67  329    3 21028
    6   2      4 15   4         2   2        9    48  215    4  9609
    6   1      1 36   4         2   2        2    43  207    4 20544
    6   1      4  6   4         2   2        9    38  427    6  1953
    1   1      3 48   5         2   2        7     1  303    3 28575
    9   2      4  6   4         2   2        9    68  212    4  5344
    1   2      1  9   1         1   2        1     1    9    1  6237
    1   1      2 26   1         1   2        3     1   26    1 15603
    1   2      2 17   1         1   2        3     1   17    1 10339
    9   2      3 48   1         1   2        7    68   48    1 27732
    2   1      1 36   1         1   2        2     2   36    1 19661
    1   1      1  9   1         1   2        1     1   45    1  6122
    1   1      1 36   1         1   1        2     1   36    1 19213
    1   1      2 29   1         1   2        4     1   29    1 16922
    9   1      1 36   1         1   2        2    68   36    1 20076
    2   2      3 13   1         1   2        5     2   13    1  9398
    1   1      1 42   1         1   2        2     1   42    1 25182
    2   1      3 37   1         1   2        5     2   36    1 21265
    2   1      3 13   1         1   2        5     2   36    1  8582
    8   1      1 42   2         1   2        2    67   72    2 25030
    1   2      2 20   1         1   2        4     1   20    1 12306
    1   2      2 26   1         1   2        3     1   26    1 15319
    1   2      2 18   1         1   2        3     1   18    1 11369
    8   1      4 35   1         1   2        8    67    4    1 19005
    9   1      4 53   1         1   2        9    68   53    1 31020
    1   2      2 26   1         1   2        3     1   26    1 14875
    2   1      2 26   1         1   2        3     2   26    1 15351
    6   2      1 25   1         1   2        1    43   25    1 14465
    1   1      3 48   1         1   2        7     1   48    1 27688
    1   2      3  1   1         1   2        6     1   13    1    97
    1   1      2 20   1         1   2        4     1   20    1 12275
    1   1      3 12   1         1   1        5     1   36    1  8259
    1   2      3 51   1         1   2        5     1   39    1 30117
    3   2      4  4   1         1   2        8    18    4    1   739
    1   1      2 27   1         1   2        4     1   27    1 15950
    1   2      3  5   1         1   2        7     1   35    1  1504
    1   1      3 47   1         1   2        6     1   18    1 26362
    2   2      3 45   1         1   2        5     2   28    1 25908
    1   1      3 10   1         1   1        5     1   36    1  6515
    1   2      3 12   1         1   2        5     1   17    1  6752
    9   1      3 47   2         1   2        6    68   72    2 26916
    1   2      2 17   1         1   2        3     1   18    1 10649
    9   2      3 45   1         1   1        5    68   24    1 25982
    1   2      1 23   1         1   2        1     1   23    1 13474
    1   2      2 29   1         1   2        4     1   29    1 16915
    1   2      3 28   1         1   1        6     1   21    1 16468
    9   1      4  6   1         1   2        9    68    6    1  1834
    2   2      3 45   1         1   2        5     2   45    1 25860
    9   1      3 30   1         1   2        5    68   12    1  7324
    3   1      3 45   1         1   2        5     5   45    1 25743
    1   1      1 36   1         1   2        2     1   36    1 19247
    2   2      3 22   1         1   2        7     2   22    1 13014
    1   2      2 18   1         1   2        3     1   18    1 11547
    9   1      2 39   1         1   1        3    68   39    1 22875
    1   2      3 47   1         1   2        6     1   24    1 26969
    1   1      4  6   1         1   2        9     1   18    1  2104
    1   1      1 34   1         1   2        2     1   34    1 18609
    1   1      1 36   1         1   1        2     1   36    1 19293
    2   1      1 36   1         1   2        2     2   36    1 19260
    1   2      3 12   1         1   2        5     1   39    1  6920
    1   1      4  6   1         1   2        9     1    6    1  4663
    2   1      4  6   1         1   2        9     2    6    1  4723
    1   2      2 29   1         1   2        4     1   29    1 16952
    1   2      4 35   1         1   1        8     1   35    1 19064
    9   1      4  8   1         1   1        8    68    8    1  5925
    1   1      3 24   1         1   2        5     1   24    1 13942
    1   1      2 39   1         1   1        3     1   53    1 22531
    2   1      2 20   1         1   2        4     2    5    1 12234
    1   2      2 26   1         1   2        3     1   26    1 15091
    1   2      2 27   1         1   2        4     1   27    1 15887
    1   1      1  9   1         1   2        1     1    9    1  6381
    1   2      2 20   1         1   1        4     1   20    1 12300
    1   1      2 39   1         1   1        3     1   39    1 22377
    1   2      1 42   1         1   2        2     1   42    1 24793
    1   2      2 39   1         1   2        3     1   39    1 23032
    1   2      1 25   1         1   2        1     1   24    1 14609
    8   1      1 42   1         1   2        2    67   17    1 25498
    9   1      4 53   1         1   2        9    68   53    1 31355
    1   1      2 26   1         1   2        3     1   27    1 15538
    1   1      3 24   1         1   2        5     1   17    1 13828
    1   2      3 12   1         1   2        5     1   12    1  7704
    1   1      2 29   1         1   2        4     1   20    1 17130
    2   2      2 17   1         1   2        3     2   17    1 10301
    1   2      2 55   1         1   2        3     1   42    1 31981
    1   2      2 39   1         1   2        3     1   39    1 22771
    1   2      1 36   1         1   2        2     1   36    1 19666
    9   1      4  6   1         1   2        9    68   48    1  4359
    1   2      3 45   1         1   2        5     1   17    1 26050
    1   2      3 22   1         1   1        7     1   22    1 13323
    1   2      3 48   1         1   2        7     1    1    1 28112
    1   1      4 53   1         1   2        9     1   53    1 31456
    9   1      1 36   1         1   2        2    68   36    1 19370
    6   2      3 24   1         1   2        5    43   24    1 13877
    1   1      2 27   1         1   1        4     1   27    1 16036
    6   1      4  6   1         1   2        9    57    6    1  3636
    2   1      1 42   1         1   2        2     2   42    1 24596
    1   1      2 17   1         1   2        3     1   17    1 11017
    2   1      2 18   1         1   2        3     2   55    1 11216
    1   2      4 56   1         1   2        9     1    6    1  4668
    9   2      9 72   2         1   1        0    68   72    2 32736
    1   1      4  6   1         1   2        9     1    6    1  1946
    1   1      2 17   1         1   2        3     1   53    1 10618
    1   2      3 48   1         1   2        7     1   48    1 27328
    1   1      2 29   1         1   2        4     1   29    1 16710
    1   2      2 27   1         1   2        4     1    4    1 16300
    1   1      1 42   1         1   2        2     1   42    1 24701
    1   1      3 13   1         1   1        5     1   13    1  8570
    2   1      3 51   1         1   2        5     2   24    1 30183
    1   1      4  6   1         1   2        9     1    6    1  2368
    9   1      4  6   1         1   2        9    68    6    1  3265
    1   1      3 51   1         1   2        5     1   51    1 30377
    1   2      2 20   1         1   1        4     1   20    1 12438
    6   2      4  8   1         1   2        8    43    8    1  5517
    1   2      4 53   1         1   2        9     1   53    1 31524
    2   2      2 26   1         1   2        3     2   26    1 15055
    1   1      3 48   1         1   2        7     1   48    1 29635
    1   1      3 37   3         1   2        5     1  316    3 22178
    1   1      3 48   1         1   1        7     1   12    1 28579
    9   1      4 41   1         1   2        9    68   41    1 24067
    1   2      3 47   1         1   2        6     1   47    1 26917
    1   2      2 18   1         1   2        3     1   18    1 11752
