Overall Time cost(in secs.): 0.11237502098083496
Size of RS-repair: 30
Distribution of Representative Column : {'2': 6, '1': 24}
Time cost of PostClean(in secs.): 0.003873586654663086
RAC1P SEX REGION ST CIT  NATIVITY DIS DIVISION RAC2P POBP WAOB    ID
    6   1      4  6   4         2   2        9    50  206    4  2260
    6   2      4 15   4         2   2        9    48  215    4  9609
    6   1      1 36   4         2   2        2    43  207    4 20544
    6   1      4  6   4         2   2        9    38  427    6  1953
    1   1      3 48   5         2   2        7     1  303    3 28575
    9   2      4  6   4         2   2        9    68  212    4  5344
    1   2      1  9   1         1   2        1     1    9    1  6237
    9   2      3 48   1         1   2        7    68   48    1 27732
    2   1      1 36   1         1   2        2     2   36    1 19661
    1   1      1  9   1         1   2        1     1   45    1  6122
    1   1      1 36   1         1   1        2     1   36    1 19213
    9   1      1 36   1         1   2        2    68   36    1 20076
    8   1      4 35   1         1   2        8    67    4    1 19005
    9   1      4 53   1         1   2        9    68   53    1 31020
    1   1      3 48   1         1   2        7     1   48    1 27688
    1   2      3  1   1         1   2        6     1   13    1    97
    1   2      3 51   1         1   2        5     1   39    1 30117
    3   2      4  4   1         1   2        8    18    4    1   739
    1   1      2 27   1         1   2        4     1   27    1 15950
    1   2      3  5   1         1   2        7     1   35    1  1504
    2   2      3 45   1         1   2        5     2   28    1 25908
    1   1      3 10   1         1   1        5     1   36    1  6515
    1   2      3 12   1         1   2        5     1   17    1  6752
    9   2      3 45   1         1   1        5    68   24    1 25982
    1   2      1 23   1         1   2        1     1   23    1 13474
    1   2      2 29   1         1   2        4     1   29    1 16915
    9   1      4  6   1         1   2        9    68    6    1  1834
    2   2      3 45   1         1   2        5     2   45    1 25860
    9   1      3 30   1         1   2        5    68   12    1  7324
    3   1      3 45   1         1   2        5     5   45    1 25743
