Overall Time cost(in secs.): 0.5441009998321533
Size of RS-repair: 265
Distribution of Representative Column : {'2': 53, '1': 212}
Time cost of PostClean(in secs.): 0.005146503448486328
RAC1P SEX REGION ST CIT  NATIVITY DIS DIVISION RAC2P POBP WAOB    ID
    6   2      4 33   4         2   2        0    45  233    4 17891
    6   2      2 18   4         2   2        3    41  205    4 11741
    8   1      4  6   4         2   2        9    67  303    3  3069
    6   2      4  6   4         2   2        9    42  206    4  1836
    6   2      4  6   5         2   2        9    47  211    4  4866
    6   2      4  6   4         2   2        9    45  233    4  1995
    6   2      4  6   5         2   2        9    48  215    4  1861
    6   1      4  6   5         2   2        9    38  210    4  4106
    9   2      4  6   5         2   2        9    68  303    3  2219
    6   1      4  6   5         2   2        9    43  207    4  2995
    9   2      4  6   4         2   1        9    68  333    3  1736
    9   2      4  6   5         2   2        9    68  303    3  4378
    6   1      4  6   4         2   2        9    50  206    4  2260
    8   1      4  6   5         2   2        9    67  312    3  4561
    6   1      4  6   4         2   2        9    38  427    6  1953
    9   2      4  6   4         2   2        9    68  212    4  5344
    6   2      1 34   4         2   2        2    57  247    4 18218
    1   2      1 34   4         2   2        2     1  164    5 18189
    1   2      3 40   4         2   2        7     1  303    3 23626
    9   1      3 48   5         2   2        7    68  303    3 28724
    8   1      3 48   5         2   2        7    67  303    3 27727
    9   1      3 48   4         2   1        7    68  303    3 27711
    2   2      3 48   4         2   2        7     2  333    3 27479
    2   1      3 48   5         2   2        7     2  440    6 29613
    8   2      3 48   4         2   2        7    67  303    3 29020
    1   2      3 48   4         2   2        7     1  301    7 28213
    1   1      3 48   5         2   2        7     1  303    3 28575
    6   2      1 25   5         2   2        1    38  210    4 14390
    6   1      1 25   4         2   1        1    38  210    4 14788
    9   2      3 12   5         2   2        5    68  327    3  7676
    2   1      3 12   4         2   2        5     2  333    3  7795
    9   1      4 32   5         2   2        8    68  303    3 17705
    6   2      3 24   4         2   2        5    49  217    4 14013
    2   1      3 24   5         2   2        5     2  440    6 14022
    1   1      1 50   5         2   2        2     1  128    5 24436
